name,ordinary_hours,hourly_rate,multiplier,accrual,accrual_rate,accrual_cost_multiplier,minimum_paid_hours,everyone,tags,negative_tags,shift_tags,not_shift_tags,days,public_holidays,public_holiday_names,min_length,min_shift_length_across_day,min_length_week,min_length_will_not_apply_if_ord_hours_already_worked_in_shift,min_length_will_only_apply_if_ord_hours_already_worked_in_shift,min_length_will_not_apply_if_weekday_hours_less_than_overtime,min_length_hours_excluded_from_max_length,times,start_times,end_times,disapply_if_weekday_location_close_after_time,disapply_if_weekend_location_close_after_time,applies_after_penalties,applies_after_max_application_length_group_hours,applies_after_weekday_hours_worked,applies_after_timesheet_week_penalties,max_length,multi_day_week_long_length,multi_day_week_short_length,max_long_lengths_in_week,max_application_length,max_application_length_group_id,overtime,beyond_contracted_hours_overtime,beyond_fixed_hours_overtime,beyond_fixed_hours,roster_overtime,roster_overtime_hours,fixed_monthly_overtime,max_rostered_hours,span_of_hours,split_shifts,split_shift_hours,shift_gap_ord_hours,apply_shift_gap_ord_hours_entire_shift,shift_gap,shift_gap_all_hours,worked_on_rdo,worked_during_on_call,worked_during_sleepover,worked_outside_availability,after_hours_worked_during_sleepover,min_length_for_shifts_bordering_sleepovers,min_length_from_rhw,min_required_break_length,hours_after_start_until_break,hours_worked_until_break,only_one_break_required,late_break_overtime,overtime_after_days_worked,overtime_after_days_worked_second_week,overtime_after_consecutive_days_worked,fixed_monthly_overtime,consecutive_daily_ord_hours,consecutive_daily_ord_hours_only,consecutive_hours_break,max_days_in_period,overtime_averaging_for_consecutive_days_worked,required_overtime_averaging_for_consecutive_days_worked,max_days_in_period_daily_ord_hours,apply_max_days_in_period_daily_ord_hours_to_ord_hours_only,timesheet_weeks_for_max_days,weekly_days_off_required,fortnightly_days_off_required,rolling_ot_window,rolling_ot_threshold,previous_three_sundays_worked,only_time_worked,all_if_major_portion,all_if_commenced,all_if_finished,considers_all_hours,included_in_blended_ot,max_age,min_age,applies_before_date,applies_after_date,applies_exactly_before_date,applies_exactly_after_date,probation,salary,yearly_salary,unpaid,hours_accrued_per_hour_worked,higher_duties_overflow_hours,higher_duties_overflow_tags,leave_enabled,all_leave_types,applies_to_leave_types,leave_export_name,only_export_leave,auto_create_leave_requests,leave_auto_approved,leave_hours_fixed_length,leave_hours_historic_percent,leave_hours_historic_window,leave_self_accrues,leave_paid_out_on_termination,leave_prevent_negative,hide_leave_balance,hide_leave_type,leave_default_fallback,incurs_super,leave_view_in_days,kickstart_leave_balance,leave_hours_entitlement,create_holiday_leave_requests,exclude_accruals_and_future_leave_from_available_balance,leave_prevent_negative_ignore_predictions,base_rate_minimum,base_rate_override,base_rate_addition,base_rate_percentage,export_as_allowance,dont_export_rate,export_name,secondary_export_name,micropay_exporter_id,micropay_pay_class,micropay_th_minutes_to_other,team_export_mask,disable_payroll_code,created_by_template,archived,helptext,stp_category,award_template_organisation_id,award_rule_id,days_til_begin_requesting,days_notice_required_before_requesting,templated_rule_id,negative_leave_balance_threshold,nz_worked_on_otherwise_working_day
Annual Leave,true,0.0,1.175,false,0.0,0.0,false,false,"Salaried,Part Time,Full Time","","","","0,1,2,3,4,5,6",false,"",0.0,false,0.0,false,false,false,false,"","","",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,false,false,0.0,false,0.0,0.0,false,0.0,false,0.0,0.0,false,0.0,0.0,false,false,false,false,0.0,false,false,0.0,0.0,0.0,false,false,0,0,0,0.0,0.0,false,0.0,0.0,false,0,0.0,false,0,0,0,0.0,0.0,false,true,false,false,false,false,false,0,0,,,false,false,0,0.0,0.0,false,0.07692307692307691,0.0,"",true,false,,,false,false,false,0.0,0.0,0,true,true,false,false,false,,,false,false,0.0,false,false,false,0.0,0.0,0.0,0.0,false,false,Annual Leave,,,,false,,false,false,false,,O,271461,734342321,0,0,4c85497e-ee0b-4984-9e1f-606aeabee793,0.0,false
Base Hourly,true,0.0,1.0,false,0.0,0.0,false,true,"","","","","0,1,2,3,4,5,6",false,"",5.0,false,0.0,false,false,false,false,"","","","","",0.0,0.0,0.0,0.0,10.0,0.0,0.0,0,0.0,,0.0,false,false,0.0,false,0.0,0.0,false,2.0,false,0.0,0.0,false,0.0,0.0,false,false,false,false,0.0,false,false,0.0,0.0,0.0,false,false,0,0,0,0.0,0.0,false,0.0,0.0,false,0,0.0,false,0,0,0,0.0,0.0,false,true,false,false,false,false,false,0,0,,,false,false,0,0.0,0.0,false,0.0,0.0,"",false,false,"",,false,false,false,0.0,0.0,0,false,false,false,false,false,,false,false,false,0.0,false,false,false,0.0,0.0,0.0,0.0,false,false,"","",,,false,,false,false,false,"",,293871,734342324,0,0,99344895-8c27-4d3a-8503-c8ba3e24a09a,0.0,false
Base Hourly,true,0.0,1.0,false,0.0,0.0,false,true,"","","","","0,1,2,3,4,5,6",false,"",0.0,false,0.0,false,false,false,false,"","","",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,false,false,0.0,false,0.0,0.0,false,0.0,false,0.0,0.0,false,0.0,0.0,false,false,false,false,0.0,false,false,0.0,0.0,0.0,false,false,0,0,0,0.0,0.0,false,0.0,0.0,false,0,0.0,false,0,0,0,0.0,0.0,false,true,false,false,false,false,false,0,0,,,false,false,0,0.0,0.0,false,0.0,0.0,"",false,false,,,false,false,false,0.0,0.0,0,false,false,false,false,false,,,false,false,0.0,false,false,false,0.0,0.0,0.0,0.0,false,false,,,,,false,,false,false,false,,,271461,821618174,0,0,5e226956-1179-4abd-9d43-b7ef0af61d17,0.0,false
Base Hourly,true,0.0,1.0,false,0.0,0.0,false,true,"","","","","0,1,2,3,4,5,6",false,"",0.0,false,0.0,false,false,false,false,"","","",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,false,false,0.0,false,0.0,0.0,false,0.0,false,0.0,0.0,false,0.0,0.0,false,false,false,false,0.0,false,false,0.0,0.0,0.0,false,false,0,0,0,0.0,0.0,false,0.0,0.0,false,0,0.0,false,0,0,0,0.0,0.0,false,true,false,false,false,false,false,0,0,,,false,false,0,0.0,0.0,false,0.0,0.0,"",false,false,,,false,false,false,0.0,0.0,0,false,false,false,false,false,,,false,false,0.0,false,false,false,0.0,0.0,0.0,0.0,false,false,,,,,false,,false,false,false,,,271461,821619112,0,0,fbeea715-e023-4917-8971-609d9e4d2ca0,0.0,false
Compassionate Leave,true,0.0,1.0,false,0.0,0.0,false,false,"Full Time,Part Time,Salaried","","","","0,1,2,3,4,5,6",false,"",0.0,false,0.0,false,false,false,false,"","","",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,false,false,0.0,false,0.0,0.0,false,0.0,false,0.0,0.0,false,0.0,0.0,false,false,false,false,0.0,false,false,0.0,0.0,0.0,false,false,0,0,0,0.0,0.0,false,0.0,0.0,false,0,0.0,false,0,0,0,0.0,0.0,false,true,false,false,false,false,false,0,0,,,false,false,0,0.0,0.0,false,0.0,0.0,"",true,false,,,false,false,false,0.0,0.0,0,false,false,false,false,false,,,false,false,0.0,false,false,false,0.0,0.0,0.0,0.0,false,false,Compassionate Leave,,,,false,,false,false,false,,O,271461,734342317,0,0,4bdd08c8-1a08-4113-8c29-e6c581849f74,0.0,false
Flat x1.2 Rate - IFA No Weekend Penalty,true,0.0,1.2,false,0.0,0.0,false,false,no-weekend-penalty IFA,"",no-weekend-penalty IFA,"","0,6",false,"",0.0,false,0.0,false,false,false,false,"","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,false,false,0.0,false,0.0,0.0,false,0.0,false,0.0,0.0,false,0.0,0.0,false,false,false,false,0.0,false,false,0.0,0.0,0.0,false,false,0,0,0,0.0,0.0,false,0.0,0.0,false,0,0.0,false,0,0,0,0.0,0.0,false,true,false,false,false,false,false,0,0,,,false,false,0,0.0,0.0,false,0.0,0.0,"",false,false,"",,false,false,false,0.0,0.0,0,false,false,false,false,false,,false,false,false,0.0,false,false,false,0.0,0.0,0.0,0.0,false,false,"","",,,false,,false,false,false,"",,271461,824187940,0,0,32211235-6930-4ab7-9d50-30b906cb36f1,0.0,false
Long Service Leave,true,0.0,1.0,false,0.0,0.0,false,false,"Full Time,Part Time,Salaried","","","","0,1,2,3,4,5,6",false,"",0.0,false,0.0,false,false,false,false,"","","",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,false,false,0.0,false,0.0,0.0,false,0.0,false,0.0,0.0,false,0.0,0.0,false,false,false,false,0.0,false,false,0.0,0.0,0.0,false,false,0,0,0,0.0,0.0,false,0.0,0.0,false,0,0.0,false,0,0,0,0.0,0.0,false,true,false,false,false,false,false,0,0,,,false,false,0,0.0,0.0,false,0.0,0.0,"",true,false,,,false,false,false,0.0,0.0,0,false,true,false,true,false,,,false,false,0.0,false,false,false,0.0,0.0,0.0,0.0,false,false,Long Service Leave,,,,false,,false,false,false,,O,271461,734342318,0,0,f8306478-33e3-4999-9ff7-4a7389f7095a,0.0,false
Parental Leave,true,0.0,0.0,false,0.0,0.0,false,false,"Full Time,Part Time,Salaried","","","","0,1,2,3,4,5,6",false,"",0.0,false,0.0,false,false,false,false,"","","",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,false,false,0.0,false,0.0,0.0,false,0.0,false,0.0,0.0,false,0.0,0.0,false,false,false,false,0.0,false,false,0.0,0.0,0.0,false,false,0,0,0,0.0,0.0,false,0.0,0.0,false,0,0.0,false,0,0,0,0.0,0.0,false,true,false,false,false,false,false,0,0,,,false,false,0,0.0,0.0,false,0.0,0.0,"",true,false,,,false,false,false,0.0,0.0,0,false,false,false,true,false,,,false,false,0.0,false,false,false,0.0,0.0,0.0,0.0,false,false,Parental Leave,,,,false,,false,false,false,,P,271461,734342319,0,0,1fb375b8-8aaf-499c-9fb6-2936c5f175d7,0.0,false
Personal/Carer's Leave,true,0.0,1.0,false,0.0,0.0,false,false,"Full Time,Part Time,Salaried","","","","0,1,2,3,4,5,6",false,"",0.0,false,0.0,false,false,false,false,"","","",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,false,false,0.0,false,0.0,0.0,false,0.0,false,0.0,0.0,false,0.0,0.0,false,false,false,false,0.0,false,false,0.0,0.0,0.0,false,false,0,0,0,0.0,0.0,false,0.0,0.0,false,0,0.0,false,0,0,0,0.0,0.0,false,true,false,false,false,false,false,0,0,,,false,false,0,0.0,0.0,false,0.03846153846153846,0.0,"",true,false,,,false,false,false,0.0,0.0,0,true,false,false,true,false,,,false,false,0.0,false,false,false,0.0,0.0,0.0,0.0,false,false,Personal/Carer's Leave,,,,false,,false,false,false,,O,271461,734342320,0,0,d74fc98c-6b29-4ff8-b902-cec9bd03b80a,0.0,false
Public Holiday (Paid/Not Worked),true,0.0,1.0,false,0.0,0.0,false,false,"Full Time,Part Time,Salaried","","","",,true,"",0.0,false,0.0,false,false,false,false,"","","",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,false,false,0.0,false,0.0,0.0,false,0.0,false,0.0,0.0,false,0.0,0.0,false,false,false,false,0.0,false,false,0.0,0.0,0.0,false,false,0,0,0,0.0,0.0,false,0.0,0.0,false,0,0.0,false,0,0,0,0.0,0.0,false,true,false,false,false,false,false,0,0,,,false,false,0,0.0,0.0,false,0.0,0.0,"",true,false,,,false,true,false,0.0,0.0,0,false,false,false,false,false,,,false,false,0.0,false,false,false,0.0,0.0,0.0,0.0,false,false,Public Holiday (Paid/Not Worked),,,,false,,false,false,false,,O,271461,734342322,0,0,61c84bb2-d54e-490b-aabf-01bfde8ee727,0.0,false
